Nome da Microrregião;Município;
Manhuaçu;Santa Margarida;73.79
Manhuaçu;Santana do Manhuaçu;73.79
Manhuaçu;São João do Manhuaçu;73.79
Manhuaçu;São José do Mantimento;73.79
Manhuaçu;Simonésia;73.79
Viçosa;Alto Rio Doce;28.13
Viçosa;Amparo da Serra;28.13
Viçosa;Araponga;28.13
Viçosa;Brás Pires;28.13
Viçosa;Cajuri;28.13
Viçosa;Canaã;28.13
Viçosa;Cipotânea;28.13
Viçosa;Coimbra;28.13
Viçosa;Ervália;28.13
Viçosa;Lamim;28.13
Viçosa;Paula Cândido;28.13
Viçosa;Pedra do Anta;28.13
Viçosa;Piranga;28.13
Viçosa;Porto Firme;28.13
Viçosa;Presidente Bernardes;28.13
Viçosa;Rio Espera;28.13
Viçosa;São Miguel do Anta;28.13
Viçosa;Senhora de Oliveira;28.13
Viçosa;Teixeiras;28.13
Viçosa;Viçosa;28.13
Muriaé;Antônio Prado de Minas;100
Muriaé;Barão do Monte Alto;100
Muriaé;Caiana;100
Muriaé;Carangola;100
Muriaé;Divino;100
Muriaé;Espera Feliz;100
Muriaé;Eugenópolis;100
Muriaé;Faria Lemos;100
Muriaé;Fervedouro;100
Muriaé;Miradouro;100
Muriaé;Miraí;100
Muriaé;Muriaé;100
Muriaé;Orizânia;100
Muriaé;Patrocínio do Muriaé;100
Muriaé;Pedra Dourada;100
Muriaé;Rosário da Limeira;100
Muriaé;São Francisco do Glória;100
Muriaé;São Sebastião da Vargem Alegre;100
Muriaé;Tombos;100
Muriaé;Vieiras;100
Ubá;Astolfo Dutra;50.75
Ubá;Divinésia;50.75
Ubá;Dores do Turvo;50.75
Ubá;Guarani;50.75
Ubá;Guidoval;50.75
Ubá;Guiricema;50.75
Ubá;Mercês;50.75
Ubá;Piraúba;50.75
Ubá;Rio Pomba;50.75
Ubá;Rodeiro;50.75
Ubá;São Geraldo;50.75
Ubá;Senador Firmino;50.75
Ubá;Silveirânia;50.75
Ubá;Tabuleiro;50.75
Ubá;Tocantins;50.75
Ubá;Ubá;50.75
Ubá;Visconde do Rio Branco;50.75
Juiz de Fora;Aracitaba;24.51
Juiz de Fora;Belmiro Braga;24.51
Juiz de Fora;Bias Fortes;24.51
Juiz de Fora;Bicas;24.51
Juiz de Fora;Chácara;24.51
Juiz de Fora;Chiador;24.51
Juiz de Fora;Coronel Pacheco;24.51
Juiz de Fora;Descoberto;24.51
Juiz de Fora;Ewbank da Câmara;24.51
Juiz de Fora;Goianá;24.51
Juiz de Fora;Guarará;24.51
Juiz de Fora;Juiz de Fora;24.51
Juiz de Fora;Lima Duarte;24.51
Juiz de Fora;Mar de Espanha;24.51
Juiz de Fora;Maripá de Minas;24.51
Juiz de Fora;Matias Barbosa;24.51
Juiz de Fora;Olaria;24.51
Juiz de Fora;Oliveira Fortes;24.51
Juiz de Fora;Paiva;24.51
Juiz de Fora;Pedro Teixeira;24.51
Juiz de Fora;Pequeri;24.51
Juiz de Fora;Piau;24.51
Juiz de Fora;Rio Novo;24.51
Juiz de Fora;Rio Preto;24.51
Juiz de Fora;Rochedo de Minas;24.51
Juiz de Fora;Santa Bárbara do Monte Verde;24.51
Juiz de Fora;Santa Rita do Ibitipoca;24.51
Juiz de Fora;Santa Rita do Jacutinga;24.51
Juiz de Fora;Santana do Deserto;24.51
Juiz de Fora;Santos Dumont;24.51
Juiz de Fora;São João Nepomuceno;24.51
Juiz de Fora;Senador Cortes;24.51
Juiz de Fora;Simão Pereira;24.51
Cataguases;Além Paraíba;8.67
Cataguases;Argirita;8.67
Cataguases;Cataguases;8.67
Cataguases;Dona Eusébia;8.67
Cataguases;Estrela-d'Alva;8.67
Cataguases;Itamarati de Minas;8.67
Cataguases;Laranjal;8.67
Cataguases;Leopoldina;8.67
Cataguases;Palma;8.67
Cataguases;Pirapetinga;8.67
Cataguases;Recreio;8.67
Cataguases;Santana de Cataguases;8.67
Cataguases;Santo Antônio do Aventureiro;8.67
Cataguases;Volta Grande;8.67
