Nome da Microrregião;Município;
Nanuque;Maxacalis;6.81
Nanuque;Nanuque;6.81
Nanuque;Santa Helena de Minas;6.81
Nanuque;Serra dos Aimorés;6.81
Nanuque;Umburatiba;6.81
Ituiutaba;Cachoeira Dourada;18.62
Ituiutaba;Capinópolis;18.62
Ituiutaba;Gurinhatã;18.62
Ituiutaba;Ipiaçu;18.62
Ituiutaba;Ituiutaba;18.62
Ituiutaba;Santa Vitória;18.62
Uberlândia;Araguari;19.52
Uberlândia;Araporã;19.52
Uberlândia;Canápolis;19.52
Uberlândia;Cascalho Rico;19.52
Uberlândia;Centralina;19.52
Uberlândia;Indianópolis;19.52
Uberlândia;Monte Alegre de Minas;19.52
Uberlândia;Prata;19.52
Uberlândia;Tupaciguara;19.52
Uberlândia;Uberlândia;19.52
Patrocínio;Abadia dos Dourados;5.92
Patrocínio;Coromandel;5.92
Patrocínio;Cruzeiro da Fortaleza;5.92
Patrocínio;Douradoquara;5.92
Patrocínio;Estrela do Sul;5.92
Patrocínio;Grupiara;5.92
Patrocínio;Iraí de Minas;5.92
Patrocínio;Monte Carmelo;5.92
Patrocínio;Patrocínio;5.92
Patrocínio;Romaria;5.92
Patrocínio;Serra do Salitre;5.92
Patos de Minas;Arapuá;12.03
Patos de Minas;Carmo do Paranaíba;12.03
Patos de Minas;Guimarânia;12.03
Patos de Minas;Lagoa Formosa;12.03
Patos de Minas;Matutina;12.03
Patos de Minas;Patos de Minas;12.03
Patos de Minas;Rio Paranaíba;12.03
Patos de Minas;Santa Rosa da Serra;12.03
Patos de Minas;São Gotardo;12.03
Patos de Minas;Tiros;12.03
Frutal;Campina Verde;4.7
Frutal;Carneirinho;4.7
Frutal;Comendador Gomes;4.7
Frutal;Fronteira;4.7
Frutal;Frutal;4.7
Frutal;Itapajipe;4.7
Frutal;Iturama;4.7
Frutal;Limeira do Oeste;4.7
Frutal;Pirajuba;4.7
Frutal;Planura;4.7
Frutal;São Francisco de Sales;4.7
Frutal;União de Minas;4.7
Uberaba;Água Comprida;14.51
Uberaba;Campo Florido;14.51
Uberaba;Conceição das Alagoas;14.51
Uberaba;Conquista;14.51
Uberaba;Delta;14.51
Uberaba;Uberaba;14.51
Uberaba;Veríssimo;14.51
Araxá;Araxá;15.91
Araxá;Campos Altos;15.91
Araxá;Ibiá;15.91
Araxá;Nova Ponte;15.91
Araxá;Pedrinópolis;15.91
Araxá;Perdizes;15.91
Araxá;Pratinha;15.91
Araxá;Sacramento;15.91
Araxá;Santa Juliana;15.91
Araxá;Tapira;15.91
Três Marias;Abaeté;35.4
Três Marias;Biquinhas;35.4
Três Marias;Cedro do Abaeté;35.4
Três Marias;Morada Nova de Minas;35.4
Três Marias;Paineiras;35.4
Três Marias;Pompéu;35.4
Três Marias;Três Marias;35.4
Curvelo;Augusto de Lima;10.31
Curvelo;Buenópolis;10.31
Curvelo;Corinto;10.31
Curvelo;Curvelo;10.31
Curvelo;Felixlândia;10.31
Curvelo;Inimutaba;10.31
Curvelo;Joaquim Felício;10.31
Curvelo;Monjolos;10.31
Curvelo;Morro da Garça;10.31
Curvelo;Presidente Juscelino;10.31
Curvelo;Santo Hipólito;10.31
Bom Despacho;Araújos;3.25
Bom Despacho;Bom Despacho;3.25
Bom Despacho;Dores do Indaiá;3.25
Bom Despacho;Estrela do Indaiá;3.25
Bom Despacho;Japaraíba;3.25
Bom Despacho;Lagoa da Prata;3.25
Bom Despacho;Leandro Ferreira;3.25
Bom Despacho;Luz;3.25
Bom Despacho;Martinho Campos;3.25
Bom Despacho;Moema;3.25
Bom Despacho;Quartel Geral;3.25
Bom Despacho;Serra da Saudade;3.25
Sete Lagoas;Araçaí;100
Sete Lagoas;Baldim;100
Sete Lagoas;Cachoeira da Prata;100
Sete Lagoas;Caetanópolis;100
Sete Lagoas;Capim Branco;100
Sete Lagoas;Cordisburgo;100
Sete Lagoas;Fortuna de Minas;100
Sete Lagoas;Funilândia;100
Sete Lagoas;Inhaúma;100
Sete Lagoas;Jaboticatubas;100
Sete Lagoas;Jequitibá;100
Sete Lagoas;Maravilhas;100
Sete Lagoas;Matozinhos;100
Sete Lagoas;Papagaios;100
Sete Lagoas;Paraopeba;100
Sete Lagoas;Pequi;100
Sete Lagoas;Prudente de Morais;100
Sete Lagoas;Santana de Pirapama;100
Sete Lagoas;Santana do Riacho;100
Sete Lagoas;Sete Lagoas;100
Conceição do Mato Dentro;Alvorada de Minas;0
Conceição do Mato Dentro;Conceição do Mato Dentro;0
Conceição do Mato Dentro;Congonhas do Norte;0
Conceição do Mato Dentro;Dom Joaquim;0
Conceição do Mato Dentro;Itambé do Mato Dentro;0
Conceição do Mato Dentro;Morro do Pilar;0
Conceição do Mato Dentro;Passabém;0
Conceição do Mato Dentro;Rio Vermelho;0
Conceição do Mato Dentro;Santo Antônio do Itambé;0
Conceição do Mato Dentro;Santo Antônio do Rio Abaixo;0
Conceição do Mato Dentro;São Sebastião do Rio Preto;0
Conceição do Mato Dentro;Serra Azul de Minas;0
Conceição do Mato Dentro;Serro;0
Pará de Minas;Florestal;34.57
Pará de Minas;Onça de Pitangui;34.57
Pará de Minas;Pará de Minas;34.57
Pará de Minas;Pitangui;34.57
Pará de Minas;São José da Varginha;34.57
Belo Horizonte;Belo Horizonte;100
Belo Horizonte;Betim;100
Belo Horizonte;Brumadinho;100
Belo Horizonte;Caeté;100
Belo Horizonte;Confins;100
Belo Horizonte;Contagem;100
Belo Horizonte;Esmeraldas;100
Belo Horizonte;Ibirité;100
Belo Horizonte;Igarapé;100
Belo Horizonte;Juatuba;100
Belo Horizonte;Lagoa Santa;100
Belo Horizonte;Mário Campos;100
Belo Horizonte;Mateus Leme;100
Belo Horizonte;Nova Lima;100
Belo Horizonte;Pedro Leopoldo;100
Belo Horizonte;Raposos;100
Belo Horizonte;Ribeirão das Neves;100
Belo Horizonte;Rio Acima;100
Belo Horizonte;Sabará;100
Belo Horizonte;Santa Luzia;100
Belo Horizonte;São Joaquim de Bicas;100
Belo Horizonte;São José da Lapa;100
Belo Horizonte;Sarzedo;100
Belo Horizonte;Vespasiano;100
Itabira;Alvinópolis;9.76
Itabira;Barão de Cocais;9.76
Itabira;Bela Vista de Minas;9.76
Itabira;Bom Jesus do Amparo;9.76
Itabira;Catas Altas;9.76
Itabira;Dionísio;9.76
Itabira;Ferros;9.76
Itabira;Itabira;9.76
Itabira;João Monlevade;9.76
Itabira;Nova Era;9.76
Itabira;Nova União;9.76
Itabira;Rio Piracicaba;9.76
Itabira;Santa Bárbara;9.76
Itabira;Santa Maria de Itabira;9.76
Itabira;São Domingos do Prata;9.76
Itabira;São Gonçalo do Rio Abaixo;9.76
Itabira;São José do Goiabal;9.76
Itabira;Taquaraçu de Minas;9.76
Itaguara;Belo Vale;1.91
Itaguara;Bonfim;1.91
Itaguara;Crucilândia;1.91
Itaguara;Itaguara;1.91
Itaguara;Itatiaiuçu;1.91
Itaguara;Jeceaba;1.91
Itaguara;Moeda;1.91
Itaguara;Piedade dos Gerais;1.91
Itaguara;Rio Manso;1.91
Ouro Preto;Diogo de Vasconcelos;1.2
Ouro Preto;Itabirito;1.2
Ouro Preto;Mariana;1.2
Ouro Preto;Ouro Preto;1.2
Conselheiro Lafaiete;Casa Grande;33.56
Conselheiro Lafaiete;Catas Altas da Noruega;33.56
Conselheiro Lafaiete;Congonhas;33.56
Conselheiro Lafaiete;Conselheiro Lafaiete;33.56
Conselheiro Lafaiete;Cristiano Otôni;33.56
Conselheiro Lafaiete;Desterro de Entre-Rios;33.56
Conselheiro Lafaiete;Entre-Rios de Minas;33.56
Conselheiro Lafaiete;Itaverava;33.56
Conselheiro Lafaiete;Ouro Branco;33.56
Conselheiro Lafaiete;Queluzito;33.56
Conselheiro Lafaiete;Santana dos Montes;33.56
Conselheiro Lafaiete;São Brás do Suaçuí;33.56
Guanhães;Braúnas;1.03
Guanhães;Carmésia;1.03
Guanhães;Coluna;1.03
Guanhães;Divinolândia de Minas;1.03
Guanhães;Dores de Guanhães;1.03
Guanhães;Gonzaga;1.03
Guanhães;Guanhães;1.03
Guanhães;Materlândia;1.03
Guanhães;Paulistas;1.03
Guanhães;Sabinópolis;1.03
Guanhães;Santa Efigênia de Minas;1.03
Guanhães;São João Evangelista;1.03
Guanhães;Sardoá;1.03
Guanhães;Senhora do Porto;1.03
Guanhães;Virginópolis;1.03
Peçanha;Água Boa;0
Peçanha;Cantagalo;0
Peçanha;Frei Lagonegro;0
Peçanha;José Raydan;0
Peçanha;Peçanha;0
Peçanha;Santa Maria do Suaçuí;0
Peçanha;São José do Jacuri;0
Peçanha;São Pedro do Suaçuí;0
Peçanha;São Sebastião do Maranhão;0
Governador Valadares;Alpercata;10.9
Governador Valadares;Campanário;10.9
Governador Valadares;Capitão Andrade;10.9
Governador Valadares;Coroaci;10.9
Governador Valadares;Divino das Laranjeiras;10.9
Governador Valadares;Engenheiro Caldas;10.9
Governador Valadares;Fernandes Tourinho;10.9
Governador Valadares;Frei Inocêncio;10.9
Governador Valadares;Galiléia;10.9
Governador Valadares;Governador Valadares;10.9
Governador Valadares;Itambacuri;10.9
Governador Valadares;Itanhomi;10.9
Governador Valadares;Jampruca;10.9
Governador Valadares;Marilac;10.9
Governador Valadares;Matias Lobato;10.9
Governador Valadares;Nacip Raydan;10.9
Governador Valadares;Nova Módica;10.9
Governador Valadares;Pescador;10.9
Governador Valadares;São Geraldo da Piedade;10.9
Governador Valadares;São Geraldo do Baixio;10.9
Governador Valadares;São José da Safira;10.9
Governador Valadares;São José do Divino;10.9
Governador Valadares;Sobrália;10.9
Governador Valadares;Tumiritinga;10.9
Governador Valadares;Virgolândia;10.9
Mantena;Central de Minas;21.45
Mantena;Itabirinha de Mantena;21.45
Mantena;Mantena;21.45
Mantena;Mendes Pimentel;21.45
Mantena;Nova Belém;21.45
Mantena;São Félix de Minas;21.45
Mantena;São João do Manteninha;21.45
Ipatinga;Açucena;100
Ipatinga;Antônio Dias;100
Ipatinga;Belo Oriente;100
Ipatinga;Coronel Fabriciano;100
Ipatinga;Ipatinga;100
Ipatinga;Jaguaraçu;100
Ipatinga;Joanésia;100
Ipatinga;Marliéria;100
Ipatinga;Mesquita;100
Ipatinga;Naque;100
Ipatinga;Periquito;100
Ipatinga;Santana do Paraíso;100
Ipatinga;Timóteo;100
Caratinga;Bom Jesus do Galho;44.26
Caratinga;Bugre;44.26
Caratinga;Caratinga;44.26
Caratinga;Córrego Novo;44.26
Caratinga;Dom Cavati;44.26
Caratinga;Entre-Folhas;44.26
Caratinga;Iapu;44.26
Caratinga;Imbé de Minas;44.26
Caratinga;Inhapim;44.26
Caratinga;Ipaba;44.26
Caratinga;Piedade de Caratinga;44.26
Caratinga;Pingo-d'Água;44.26
Caratinga;Santa Rita de Minas;44.26
Caratinga;São Domingos das Dores;44.26
Caratinga;São João do Oriente;44.26
Caratinga;São Sebastião do Anta;44.26
Caratinga;Tarumirim;44.26
Caratinga;Ubaporanga;44.26
Caratinga;Vargem Alegre;44.26
Aimorés;Aimorés;20.22
Aimorés;Alvarenga;20.22
Aimorés;Conceição de Ipanema;20.22
Aimorés;Conselheiro Pena;20.22
Aimorés;Cuparaque;20.22
Aimorés;Goiabeira;20.22
Aimorés;Ipanema;20.22
Aimorés;Itueta;20.22
Aimorés;Mutum;20.22
Aimorés;Pocrane;20.22
Aimorés;Resplendor;20.22
Aimorés;Santa Rita do Itueto;20.22
Aimorés;Taparuba;20.22
Piumhi;Bambuí;4.67
Piumhi;Córrego Danta;4.67
Piumhi;Doresópolis;4.67
Piumhi;Iguatama;4.67
Piumhi;Medeiros;4.67
Piumhi;Piumhi;4.67
Piumhi;São Roque de Minas;4.67
Piumhi;Tapiraí;4.67
Piumhi;Vargem Bonita;4.67
Divinópolis;Carmo do Cajuru;14.61
Divinópolis;Cláudio;14.61
Divinópolis;Conceição do Pará;14.61
Divinópolis;Divinópolis;14.61
Divinópolis;Igaratinga;14.61
Divinópolis;Itaúna;14.61
Divinópolis;Nova Serrana;14.61
Divinópolis;Perdigão;14.61
Divinópolis;Santo Antônio do Monte;14.61
Divinópolis;São Gonçalo do Pará;14.61
Divinópolis;São Sebastião do Oeste;14.61
Formiga;Arcos;31.37
Formiga;Camacho;31.37
Formiga;Córrego Fundo;31.37
Formiga;Formiga;31.37
Formiga;Itapecerica;31.37
Formiga;Pains;31.37
Formiga;Pedra do Indaiá;31.37
Formiga;Pimenta;31.37
Campo Belo;Aguanil;24.79
Campo Belo;Campo Belo;24.79
Campo Belo;Cana Verde;24.79
Campo Belo;Candeias;24.79
Campo Belo;Cristais;24.79
Campo Belo;Perdões;24.79
Campo Belo;Santana do Jacaré;24.79
Oliveira;Bom Sucesso;8.09
Oliveira;Carmo da Mata;8.09
Oliveira;Carmópolis de Minas;8.09
Oliveira;Ibituruna;8.09
Oliveira;Oliveira;8.09
Oliveira;Passa-Tempo;8.09
Oliveira;Piracema;8.09
Oliveira;Santo Antônio do Amparo;8.09
Oliveira;São Francisco de Paula;8.09
Passos;Alpinópolis;81.89
Passos;Bom Jesus da Penha;81.89
Passos;Capetinga;81.89
Passos;Capitólio;81.89
Passos;Cássia;81.89
Passos;Claraval;81.89
Passos;Delfinópolis;81.89
Passos;Fortaleza de Minas;81.89
Passos;Ibiraci;81.89
Passos;Itaú de Minas;81.89
